location,fire_age4,fire_age3,fire_age2,fire_age1,fire_age0,Herbs,Shrub,Treed broadleaf,Treed conifer,Treed mixed,Water,Bryoid,Rock,year,week,n_days_effort,Barren-ground Caribou,gray_wolf,grizzly_bear,Muskox,camera,cluster,elevation,esker_camera_distances
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,33,5,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,52,2,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,34,3,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,35,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,36,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,37,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,38,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,39,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,40,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
BMS-TLU-081-04,1,0,0,0,0,0.02857142857142857,0.2857142857142857,0,0.5542857142857143,0,0.13142857142857142,0,0,2021,41,7,0,0,0,0,04,BMS-TLU-081,266.44390869140625,13985.8212890625
